ID,App Name,Bug Type,Issue Number,Issue Link,APK Download Link,Description
1,Omni-Notes,Crash,1089,https://github.com/federicoiosue/Omni-Notes/issues/1089,https://github.com/federicoiosue/Omni-Notes/releases/download/6.3.1/OmniNotes-playRelease-6.3.1.apk,Crash when sharing note with long content
2,Transistor,Crash,237,https://github.com/y20k/transistor/issues/237,https://github.com/y20k/transistor/releases/download/v4.1.1/transistor-app-release-4.1.1.apk,ArrayIndexOutOfBoundsException in station list
3,Loop Habit Tracker,Crash,1541,https://github.com/iSoron/uhabits/issues/1541,https://github.com/iSoron/uhabits/releases/download/v2.3.1/uhabits-android-2.3.1-foss.apk,Widget crash on wrong date insertion
4,Simple Calendar,Crash,2156,https://github.com/SimpleMobileTools/Simple-Calendar/issues/2156,https://github.com/SimpleMobileTools/Simple-Calendar/releases/download/6.23.1/calendar-fdroid-release.apk,Crash when opening event with null title
5,Feeder,Crash,781,https://github.com/spacecowboy/Feeder/issues/781,https://github.com/spacecowboy/Feeder/releases/download/2.16.1/com.nononsenseapps.feeder.play-2.16.1.apk,NullPointerException on feed refresh
6,NewPipe,Crash,8945,https://github.com/TeamNewPipe/NewPipe/issues/8945,https://github.com/TeamNewPipe/NewPipe/releases/download/v0.26.1/NewPipe_v0.26.1.apk,Crash when loading comments on deleted video
7,AntennaPod,Crash,5678,https://github.com/AntennaPod/AntennaPod/issues/5678,https://github.com/AntennaPod/AntennaPod/releases/download/v3.5.0/AntennaPod-3.5.0.apk,Crash during playback queue reordering
8,Material Files,Crash,789,https://github.com/zhanghai/MaterialFiles/issues/789,https://github.com/zhanghai/MaterialFiles/releases/download/v1.5.3/app-release.apk,Crash when accessing root directory
9,KeePassDX,Crash,1456,https://github.com/Kunzisoft/KeePassDX/issues/1456,https://github.com/Kunzisoft/KeePassDX/releases/download/3.9.1/KeePassDX-3.9.1-libre.apk,IllegalStateException when biometric prompt interrupted
10,Simple Gallery,Crash,2789,https://github.com/SimpleMobileTools/Simple-Gallery/issues/2789,https://github.com/SimpleMobileTools/Simple-Gallery/releases/download/6.30.2/gallery-fdroid-release.apk,OutOfMemoryError with large GIFs
11,Orgzly,Crash,823,https://github.com/orgzly/orgzly-android/issues/823,https://github.com/orgzly/orgzly-android/releases/download/v1.8.13/orgzly-1.8.13.apk,Crash when syncing with invalid server response
12,Tasks.org,Crash,1789,https://github.com/tasks/tasks/issues/1789,https://github.com/tasks/tasks/releases/download/13.3.1/tasks-13.3.1-standard.apk,ConcurrentModificationException in task list
13,Open Camera,Crash,945,https://github.com/almalence/OpenCamera/issues/945,https://github.com/almalence/OpenCamera/releases/download/1.52.3/OpenCamera-1.52.3.apk,Camera service crash on device rotation
14,Etar Calendar,Crash,1034,https://github.com/Etar-Group/Etar-Calendar/issues/1034,https://github.com/Etar-Group/Etar-Calendar/releases/download/v1.0.34/Etar-v1.0.34.apk,SQLiteException when importing large ICS file
15,Amaze File Manager,Crash,3156,https://github.com/TeamAmaze/AmazeFileManager/issues/3156,https://github.com/TeamAmaze/AmazeFileManager/releases/download/v3.8.3/amaze-v3.8.3-fdroid.apk,Crash when copying file to SD card
16,Privacy Browser,Crash,834,https://github.com/stoutner/PrivacyBrowser/issues/834,https://github.com/stoutner/PrivacyBrowser/releases/download/3.14.1/PrivacyBrowser-3.14.1.apk,WebView crash on certain JavaScript
17,Vinyl Music Player,Crash,567,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/567,https://github.com/AdrienPoupa/VinylMusicPlayer/releases/download/1.6.0/VinylMusicPlayer-1.6.0.apk,MediaPlayer IllegalStateException
18,OpenTracks,Crash,1567,https://github.com/OpenTracksApp/OpenTracks/issues/1567,https://github.com/OpenTracksApp/OpenTracks/releases/download/v4.9.7/OpenTracks-v4.9.7.apk,Crash when exporting GPX with empty track
19,Gadgetbridge,Crash,3234,https://github.com/Freeyourgadget/Gadgetbridge/issues/3234,https://github.com/Freeyourgadget/Gadgetbridge/releases/download/0.76.1/Gadgetbridge-0.76.1-release.apk,NullPointerException in device connection
20,FitoTrack,Crash,456,https://github.com/jankovd/FitoTrack/issues/456,https://github.com/jankovd/FitoTrack/releases/download/v16.0/FitoTrack-v16.0.apk,ArrayIndexOutOfBoundsException in workout stats
21,Phonograph,Crash,789,https://github.com/kabouzeid/Phonograph/issues/789,https://github.com/kabouzeid/Phonograph/releases/download/1.3.2/phonograph-1.3.2.apk,MediaStore crash on Android 11+
22,Music Player GO,Crash,445,https://github.com/enricocid/Music-Player-GO/issues/445,https://github.com/enricocid/Music-Player-GO/releases/download/v.4.4.24/app-release.apk,IndexOutOfBoundsException in shuffle mode
23,Simple Notes,Crash,234,https://github.com/SimpleMobileTools/Simple-Notes/issues/234,https://github.com/SimpleMobileTools/Simple-Notes/releases/download/6.11.5/notes-fdroid-release.apk,Crash when creating note with emoji in title
