APK_File,Bug_Report_URL,Android_SDK,Success,APK_Download_URL
1.newsblur-v6.10_debug.apk,https://github.com/samuelclay/NewsBlur/issues/1053,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/1.newsblur-v6.10_debug.apk
2.markor-v0.3.2_debug.apk,https://github.com/gsantner/markor/issues/194,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/2.markor-v0.3.2_debug.apk
3.Birthdroid_debug.apk,https://github.com/rigid/Birthdroid/issues/13,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/3.Birthdroid_debug.apk
4.car_report_debug.apk,https://bitbucket.org/frigus02/car-report/issues/43/infinity-100-km-and-plot-deathlock,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/4.car_report_debug.apk
5.OpenSudoku.apk,https://code.google.com/archive/p/opensudoku-android/issues/173,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/5.OpenSudoku.apk
6.acv_debug.apk,https://github.com/robotmedia/droid-comic-viewer/issues/11,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/6.acv_debug.apk
7.AnyMemo-v8.999.4_debug.apk,https://code.google.com/archive/p/anymemo/issues/18,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/7.AnyMemo-v8.999.4_debug.apk
8.AnyMemo-v10.10.1_debug.apk,https://github.com/helloworld1/AnyMemo/issues/440,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/8.AnyMemo-v10.10.1_debug.apk
9.notepad_debug.apk,https://code.google.com/archive/p/banderlabs/issues/23,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/9.notepad_debug.apk
10.olam_debug.apk,https://github.com/vishnus/Olam/issues/2,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/10.olam_debug.apk
11.olam_debug.apk,https://github.com/vishnus/Olam/issues/1,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/11.olam_debug.apk
12.FastAdapter_debug.apk,https://github.com/mikepenz/FastAdapter/issues/394,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/12.FastAdapter_debug.apk
13.LibreNews-v1.4_debug.apk,https://github.com/milesmcc/LibreNews-Android/issues/22,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/13.LibreNews-v1.4_debug.apk
14.LibreNews-v1.4_debug.apk,https://github.com/milesmcc/LibreNews-Android/issues/23,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/14.LibreNews-v1.4_debug.apk
15.LibreNews-v1.4_debug.apk,https://github.com/milesmcc/LibreNews-Android/issues/27,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/15.LibreNews-v1.4_debug.apk
16.SMSSync-v3.0.5_debug.apk,https://github.com/ushahidi/SMSSync/issues/464,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/16.SMSSync-v3.0.5_debug.apk
17.transistor-v1.2.3_debug.apk,https://github.com/y20k/transistor/issues/63,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/17.transistor-v1.2.3_debug.apk
18.Zom-v15.2.0-RC-3_debug.apk,https://github.com/zom/Zom-Android/issues/275,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/18.Zom-v15.2.0-RC-3_debug.apk
19.Pix-Art_share_debug.apk,https://github.com/kriztan/Pix-Art-Messenger/issues/125,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/19.Pix-Art_share_debug.apk
20.Pix-Art_debug.apk,https://github.com/kriztan/Pix-Art-Messenger/issues/127,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/20.Pix-Art_debug.apk
21.ScreenCam_debug_1.8.2.apk,https://github.com/vijai1996/screenrecorder/issues/25,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/21.ScreenCam_debug_1.8.2.apk
22.ventriloid_debug.apk,https://code.google.com/archive/p/ventriloid/issues/1,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/22.ventriloid_debug.apk
23.News-Android_debug.apk,https://github.com/nextcloud/news-android/issues/487,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/23.News-Android_debug.apk
24.obd-reader_debug.apk,https://github.com/pires/android-obd-reader/issues/22,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/24.obd-reader_debug.apk
25.dagger_debug.apk,https://github.com/vestrel00/android-dagger-butterknife-mvp/issues/46,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/25.dagger_debug.apk
